this 	:	 neutral
may 	:	 neutral
not 	:	 neutral
have 	:	 neutral
the 	:	 neutral
dramatic 	:	 neutral
gut-wrenching 	:	 neutral
impact 	:	 neutral
of 	:	 neutral
other 	:	 neutral
holocaust 	:	 neutral
films 	:	 neutral
 	:	 neutral
but 	:	 neutral
it's 	:	 neutral
a 	:	 neutral
compelling 	:	 neutral
story 	:	 neutral
mainly 	:	 neutral
because 	:	 neutral
way 	:	 neutral
told 	:	 neutral
by 	:	 neutral
people 	:	 neutral
who 	:	 neutral
were 	:	 neutral
there 	:	 neutral
-------------------------------------
a 	:	 neutral
perfect 	:	 positive
example 	:	 neutral
of 	:	 neutral
rancid 	:	 neutral
 	:	 neutral
well-intentioned 	:	 positive
but 	:	 neutral
shamelessly 	:	 negative
manipulative 	:	 negative
movie 	:	 neutral
making 	:	 neutral
-------------------------------------
it's 	:	 neutral
a 	:	 neutral
compelling 	:	 neutral
story 	:	 neutral
 	:	 neutral
but 	:	 neutral
it 	:	 neutral
has 	:	 neutral
low 	:	 neutral
impact 	:	 neutral
-------------------------------------
this 	:	 neutral
does 	:	 neutral
not 	:	 neutral
have 	:	 neutral
gut-wrenching 	:	 neutral
impact 	:	 neutral
but 	:	 neutral
it's 	:	 neutral
a 	:	 neutral
compelling 	:	 neutral
story 	:	 neutral
